,mySupervisionList,RSL_List,trendIndicator
0,2338.HK,1.257471018938795,++++++
1,AAG.DE,1.2459808876089715,-+++++
2,BIDU,1.6818672270567303,+-++++
3,BMW.DE,1.0704822803434326,+---++
4,BAYN.DE,1.0207321543239416,-+++++
5,COK.DE,0.9828418488168241,----++
6,CSCO,1.0832893583440477,++++++
7,EVD.DE,1.2189528508141534,+-++++
8,FEV.DE,1.033526554007434,+-++++
9,HAG.DE,,------
10,IRBT,1.1126992843608228,++++++
11,JD,1.13832356456738,--++++
12,MTX.DE,1.2270667777120112,++++++
13,N7G.DE,1.2191020114268423,++--+-
14,PRLB,1.2149728243626814,+--+++
15,SHL.DE,1.0979128276553962,--++++
16,SIX2.DE,1.2817386075521415,-+++++
17,SLM,1.4658632716200346,++++++
18,TCOM,1.0673038570074678,+-+-++
19,TUI1.DE,1.07869841915749,++--++
20,VOW3.DE,1.0693111914975866,++++++
